C,"10001",10001
V,1000,1
V,1001,1
V,1002,1
C,"10002",10002
V,1001,1
V,1003,1
C,"10003",10003
V,1001,1
V,1003,1
V,1004,1
C,"10004",10004
V,1005,1
C,"10005",10005
V,1006,1
C,"10006",10006
V,1003,1
V,1004,1
C,"10007",10007
V,1007,1
C,"10008",10008
V,1004,1
C,"10009",10009
V,1008,1
V,1009,1
C,"10010",10010
V,1010,1
V,1000,1
V,1011,1
V,1012,1
V,1013,1
V,1014,1
C,"10011",10011
V,1015,1
V,1016,1
V,1017,1
V,1018,1
V,1019,1
C,"10012",10012
V,1020,1
V,1021,1
C,"10013",10013
V,1022,1
C,"10014",10014
V,1023,1
C,"10015",10015
V,1024,1
C,"10016",10016
V,1025,1
V,1026,1
C,"10017",10017
V,1027,1
V,1017,1
V,1026,1
V,1028,1
C,"10018",10018
V,1004,1
C,"10019",10019
V,1017,1
V,1004,1
V,1018,1
V,1029,1
V,1008,1
V,1030,1
V,1031,1
V,1032,1
V,1003,1
V,1033,1
V,1002,1
C,"10020",10020
V,1008,1
V,1001,1
V,1034,1
V,1002,1
C,"10021",10021
V,1017,1
V,1004,1
V,1018,1
V,1035,1
V,1036,1
V,1008,1
V,1037,1
V,1009,1
V,1038,1
V,1026,1
V,1039,1
V,1040,1
V,1032,1
V,1041,1
V,1042,1
V,1034,1
V,1043,1
C,"10022",10022
V,1008,1
V,1017,1
V,1004,1
C,"10023",10023
V,1008,1
C,"10024",10024
V,1044,1
C,"10025",10025
V,1045,1
C,"10026",10026
V,1034,1
C,"10027",10027
V,1008,1
V,1046,1
V,1034,1
C,"10028",10028
V,1295,1
C,"10029",10029
V,1034,1
C,"10030",10030
V,1017,1
V,1048,1
C,"10031",10031
V,1045,1
V,1049,1
V,1018,1
V,1008,1
V,1035,1
V,1027,1
V,1046,1
V,1009,1
V,1031,1
V,1041,1
V,1001,1
V,1003,1
V,1002,1
V,1034,1
C,"10032",10032
V,1050,1
C,"10033",10033
V,1032,1
C,"10034",10034
V,1037,1
V,1009,1
V,1004,1
C,"10035",10035
V,1008,1
V,1051,1
V,1038,1
V,1031,1
V,1052,1
V,1053,1
V,1018,1
C,"10036",10036
V,1051,1
V,1054,1
V,1018,1
V,1035,1
V,1008,1
V,1009,1
V,1026,1
V,1040,1
V,1052,1
V,1041,1
V,1003,1
V,1034,1
V,1048,1
C,"10037",10037
V,1008,1
V,1055,1
V,1056,1
V,1017,1
V,1032,1
C,"10038",10038
V,1008,1
V,1027,1
V,1026,1
V,1041,1
V,1032,1
V,1001,1
V,1003,1
V,1018,1
V,1057,1
C,"10039",10039
V,1000,1
V,1058,1
V,1017,1
V,1049,1
V,1001,1
V,1034,1
C,"10040",10040
V,1008,1
V,1034,1
C,"10041",10041
V,1008,1
V,1009,1
V,1034,1
C,"10042",10042
V,1030,1
V,1004,1
C,"10043",10043
V,1008,1
V,1009,1
C,"10044",10044
V,1008,1
V,1004,1
V,1034,1
C,"10045",10045
V,1034,1
